"","ID","Position","EAP","SE"
"697",88,1,-0.544,0.726
"698",88,2,-0.845,0.648
"699",88,3,-1.109,0.606
"700",88,4,-1.254,0.575
"701",88,5,-1.359,0.557
"702",88,6,-1.434,0.547
"703",88,7,-1.473,0.538
"704",88,8,-1.573,0.544
"705",89,1,-0.544,0.726
"706",89,2,-0.845,0.648
"707",89,3,-1.109,0.606
"708",89,4,-1.254,0.575
"709",89,5,-1.359,0.557
"710",89,6,-1.434,0.547
"711",89,7,-1.473,0.538
"712",89,8,-1.573,0.544
"713",90,1,0.6,0.417
"714",90,2,0.713,0.299
"715",90,3,0.764,0.251
"716",90,4,0.785,0.22
"717",90,5,0.719,0.206
"718",90,6,0.807,0.193
"719",90,7,0.852,0.18
"720",90,8,0.914,0.172
"721",91,1,-0.544,0.726
"722",91,2,-0.002,0.391
"723",91,3,0.088,0.303
"724",91,4,0.125,0.26
"725",91,5,0.07,0.244
"726",91,6,0.011,0.234
"727",91,7,0.008,0.217
"728",91,8,-0.002,0.203
"729",92,1,-0.544,0.726
"730",92,2,-0.845,0.648
"731",92,3,-1.109,0.606
"732",92,4,-1.254,0.575
"733",92,5,-1.359,0.557
"734",92,6,-1.434,0.547
"735",92,7,-1.473,0.538
"736",92,8,-1.573,0.544
"737",93,1,-0.544,0.726
"738",93,2,-0.845,0.648
"739",93,3,-1.109,0.606
"740",93,4,-1.254,0.575
"741",93,5,-1.359,0.557
"742",93,6,-1.434,0.547
"743",93,7,-1.473,0.538
"744",93,8,-1.573,0.544
"745",94,1,-0.544,0.726
"746",94,2,-0.845,0.648
"747",94,3,-1.109,0.606
"748",94,4,-1.254,0.575
"749",94,5,-1.359,0.557
"750",94,6,-1.434,0.547
"751",94,7,-1.473,0.538
"752",94,8,-1.573,0.544
"753",95,1,-0.544,0.726
"754",95,2,-0.845,0.648
"755",95,3,-1.109,0.606
"756",95,4,-1.254,0.575
"757",95,5,-1.359,0.557
"758",95,6,-1.434,0.547
"759",95,7,-1.473,0.538
"760",95,8,-1.573,0.544
"761",96,1,0.6,0.417
"762",96,2,0.713,0.299
"763",96,3,0.764,0.251
"764",96,4,0.643,0.233
"765",96,5,0.644,0.21
"766",96,6,0.595,0.194
"767",96,7,0.552,0.183
"768",96,8,0.518,0.173
"769",97,1,-0.544,0.726
"770",97,2,-0.845,0.648
"771",97,3,-1.109,0.606
"772",97,4,-1.254,0.575
"773",97,5,-1.359,0.557
"774",97,6,-1.434,0.547
"775",97,7,-1.473,0.538
